CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55101AR2002PTC006743,KAMENG HORIZONS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,600000.00,2002-01-29,"NAFRAWEST KAMENG   ARUNACHAL PRADESH,NAFRA,West Kameng,Arunachal Pradesh,790001-India",Unlisted,Active,arunachal pradesh,Indian,55101,Trading
U01409AR2010PTC008306,TOWSIK TRADECON PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2010-06-11,"HAYULIANG, PO-HAYULIANG,ANJAW,Arunachal Pradesh,792102-India",Unlisted,Strike Off,arunachal pradesh,Indian,01409,Agriculture and Allied Activities
U01611AR2023PTC013919,HASSERUSSA FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,420000.00,2023-06-02,"C/O TAHRANG ARANGHAM HNO,63 KANUBARI HASSE RUSSA,Longding,Tirap,Arunachal Pradesh,792131-India",Unlisted,Active,arunachal pradesh,Indian,01611,Agriculture and Allied Activities
U01611AR2023PTC014061,BARIRIJO AGRO CULTURE FARMER PRODUCER COMPANY LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,10000.00,2023-12-11,"C/o Punga Yoka, Village,P.O & P.S. Maro Dstrict, Upper Subansiri,,Maro,Upper Subansiri,Arunachal Pradesh,791122-India",Unlisted,Active,arunachal pradesh,Indian,01611,Agriculture and Allied Activities
U63030AR2018PTC013510,SUYANG TOURISM PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-02-12,"HOUSE NO. E-7, Lapnan Village   PO/PS-Khonsa,TIRAP,Tirap,Arunachal Pradesh,792130-India",Unlisted,Strike Off,arunachal pradesh,Indian,63030,"Transport, storage and Communications"
U10102AR2007PTC008246,NAMCHIK COAL PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,900000.00,250000.00,2007-08-03,"NAMCHIC   P.O KHARSANG,MIAO,Changlang,Arunachal Pradesh,792122-India",Unlisted,Active,arunachal pradesh,Indian,10102,Mining and Quarrying
U68200AR2023PTC014027,SONIA BUILDTECH PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2023-10-13,"ROOM-1,Naharlagun,Papum Pare,Arunachal Pradesh,791110-India",Unlisted,Active,arunachal pradesh,Indian,68200,Real Estate and Renting
U15137AR2005PTC007803,PINE VALLEY FRUIT CANNING PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,15000000.00,15000000.00,2005-06-30,"VIVEK BUILDINGVIVEK VIHAR   ARUNACHAL PRADESH,ITANAGAR,Papum Pare,Arunachal Pradesh,791111-India",Unlisted,Active,arunachal pradesh,Indian,15137,Manufacturing (Food stuffs)
U15400AR2021PTC013692,BYORE VENTURES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-11-17,"C/O TAKHE TAMO   ZIRO ESD LOWER SUBANSIRI,ZIRO,Lower Subansiri,Arunachal Pradesh,791120-India",Unlisted,Active,arunachal pradesh,Indian,15400,Manufacturing (Food stuffs)
U42909AR2025PTC014223,GOLLO BUILDS CONSTRUCTIONS PRIVATE LIMITED,ROC Guwahati,Company limited by shares,Non-government company,Private,100000.00,10000.00,2025-02-28,"C/o Toko Ompu Gollo,Jullang Daath Village,Itanagar,Papum Pare,Arunachal Pradesh,791111-India",Unlisted,Active,arunachal pradesh,Indian,42909,Construction
