CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U85500MN2024PTC015181,LOUSHING SHANG PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-10-18,"KONGPAL KSHETRI LEIKAI,,P.O & P.S POROMPAT DIST,,Porompat,imphal east,Manipur,795005-India",Unlisted,Active,manipur,Indian,85500,"Community, personal and Social Services"
U45202MN2011PTC008279,RADHEY CONSTRUCTIONS & SUPPLY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2011-05-09,"C/O E. SOMORENDRO SINGH   SAGOLBAND MANTRI LEIKAI,IMPHAL,Ukhrul,Manipur,795001-India",Unlisted,Active,manipur,Indian,45202,Construction
U72200MN2017PTC013552,NIBIAA CONSULTANCY PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2017-07-21,"IED-III, 1-EC-13, Kongba Uchekon Khunou   Near Standard College,PO Singjamei, IMPHAL EAST,East Imphal,Manipur,795008-India",Unlisted,Active,manipur,Indian,72200,Business Services
U26942MN2000PLC006156,KANGLEIPAK PRODUCTS LIMITED,ROC Shillong,Company limited by shares,Non-government company,Public,1000000.00,500000.00,2000-05-10,"LANGTHABAL KUNJACANCHIPUR   NEAR MANIPUR UNIVERSITY,IMPHAL,Manipur,795001-India",Unlisted,Strike Off,manipur,Indian,26942,"Manufacturing (Metals and Chemicals, and products thereof)"
U26999MN1994PLC004122,MANIPUR MINERAL CORPORATION LTD,ROC Shillong,Company limited by shares,Non-government company,Public,10000000.00,1621500.00,1994-04-26,"TULIHAL AIRPORT ROAD,IMPHAL,Manipur,000000-India",Unlisted,Strike Off,manipur,Indian,26999,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909MN2009PTC008247,LOOK EAST IMPEX PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,10000000.00,150000.00,2009-06-24,"MANA INN, ZOMI VILLA   NORTH AOC,IMPHAL,Manipur,795001-India",Unlisted,Strike Off,manipur,Indian,51909,Trading
U52291MN2023PTC014902,KHONGCHATLUST ADVENTURES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,100000.00,2023-07-24,"171, Sangaiprou Mamang,Leikai,Imphal,imphal west,Manipur,795001-India",Unlisted,Active,manipur,Indian,52291,"Transport, storage and Communications"
U52399MN2013PTC008335,SANGAI TECHNOLOGIES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,10000000.00,300000.00,2013-04-23,"69   THANGAL BAZAR,IMPHAL,West Imphal,Manipur,795001-India",Unlisted,Strike Off,manipur,Indian,52399,Trading
U49230MN2025PTC015223,TCRK LOGISTIC AND CONSTRUCTION PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2025-01-17,"C/O Soubam Premila Devi,Chingamakh Maisnam Leikai,Imphal,imphal west,Manipur,795001-India",Unlisted,Active,manipur,Indian,49230,"Transport, storage and Communications"
U50200MN1989PTC003178,CROWN MOTORS PVT LTD,ROC Shillong,Company limited by shares,Non-government company,Private,500000.00,14000.00,1989-02-08,"SHOPING CUM RESENDITIALCOMPLEX LAMPHEL PAT   IMPHAL,MANIPUR,Manipur,000000-India",Unlisted,Strike Off,manipur,Indian,50200,Trading
U51109MN1997PTC005168,KANHAI BUILLDING MATERIALS PVT LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,12000.00,1997-09-01,"WABGAI KEIRAK LEIRAK ACHUBAB P O WABAGAI   KAKCHING THOUBAL,MANIPUR,Manipur,795103-India",Unlisted,Strike Off,manipur,Indian,51109,Trading
U56290MN2025PTC015227,MALEM NUTRITION CENTER PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,100000.00,100000.00,2025-01-21,"MAYAI LEIKAI SABANTONGBA,THOUBAL, MANIPUR,Thoubal Khunou,thoubal,Manipur,795138-India",Unlisted,Active,manipur,Indian,56290,"Transport, storage and Communications"
U45400MN2022PTC014611,JBAM PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,1500000.00,2022-07-18,"C/O O NIVEDITA DEVI, HOUSE NO 165   KEISHAMPAT THIYAM LEIKAM, IMPHAL WEST,IMPHAL,West Imphal,Manipur,795001-India",Unlisted,Active,manipur,Indian,45400,Construction
U45500MN2022PTC014554,KELVIN CONSTRUCTIONS PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-05-04,"HN-04,Old Tollgate 5 storey Building,Senapati,senapati,Manipur,795106-India",Unlisted,Active,manipur,Indian,45500,Construction
U90009MN2024PTC015209,BUTTERFLY EFFECT ENTERTAINMENT PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,1000000.00,45000.00,2024-12-18,"C/O Andrew Luikang,H NO-64, Sadim Lizai,Maram,senapati,Manipur,795015-India",Unlisted,Active,manipur,Indian,90009,"Community, personal and Social Services"
U52100MN2022PTC014511,CHUNGOI ENTERPRISES PRIVATE LIMITED,ROC Shillong,Company limited by shares,Non-government company,Private,10000000.00,100000.00,2022-03-14,"H.NO.25, SEGA ROAD, THOUDA BHABOK   LEIKAI,IMPHAL,West Imphal,Manipur,795001-India",Unlisted,Active,manipur,Indian,52100,Trading
U65999MN2022PLN014491,YENINGTHA NIDHI LIMITED,ROC Shillong,Company limited by shares,Non-government company,Public,1500000.00,1000000.00,2022-02-12,"C/O. P SURESHKUMAR SINGH   MOIRANG BISHNUPUR,BISHNUPUR,Bishnupur,Manipur,795133-India",Unlisted,Active,manipur,Indian,65999,Finance
