CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U55204LH2019PTC010940,LASERMO HOTELS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2019-04-10,"HOTEL LASERMO   CHULUNG, OLD ROAD,LEH LADAKH,Leh,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,55204,Trading
U45400LH2014PTC004199,MOHDRAZA CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2014-06-30,"NEAR J A M E SCHOOL   CHANCHICK,KARGIL,Kargil,Ladakh,194301-India",Unlisted,Strike Off,ladakh,Indian,45400,Construction
U45203LH2007PLC002732,GRNACO INDUSTRIES AND CONSTRUCTIONS LIMITED,ROC Jammu,Company limited by shares,Non-government company,Public,50000000.00,10000000.00,2007-01-25,"MAIN MARKET   KARGIL (LADAKH),LADAKH,Leh,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45203,Construction
U74999LH2016PTC009827,CHILLUNG CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-12-27,"Village and Post Office Panikhar,Kargil,Kargil,Ladakh,194013-India",Unlisted,Active,ladakh,Indian,74999,Business Services
U45400LH2011PTC003417,NUN KUN TRADERS AND CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2011-12-09,"KACHO COMPLEX   2ND FLOOR, NEAR JAMIYA MASJID, MAIN MARK,ET,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,45400,Construction
U01100LH2022PTC011304,SIACHEN NATURALS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,106750.00,2022-10-03,"C/o Sonam Phunchok, Phunchok Tsering   Shey Shashi,Leh,Leh,Ladakh,194201-India",Unlisted,Active,ladakh,Indian,01100,Agriculture and Allied Activities
U45202LH2002PTC002198,KARGIL CONSTRUCTIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,150000.00,2002-03-11,"IST FLOOR, INQLAB MANZIL MAIN BAZAR KARGIL   KARGIL,JAMMU AND KASHMIR,Ladakh,000000-India",Unlisted,Strike Off,ladakh,Indian,45202,Construction
U72900LH2020OPC011258,SHAWATALES (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2020-09-07,"SEC-1, TASHITHOGSMON,   CHOGLAMSAR,KASHMIR,Leh,Ladakh,194104-India",Unlisted,Active,ladakh,Indian,72900,Business Services
U15400LH2018PTC010285,LADAKHI FOODS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,500000.00,50000.00,2018-02-15,"WAKHA WADOO SHARGOL,   DISTRICT-KARGIL, LADAKH,KARGIL,Kargil,Ladakh,194109-India",Unlisted,Active,ladakh,Indian,15400,Manufacturing (Food stuffs)
U45207LH2021OPC011271,AQAIN ENGINEERING WORKS (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2021-05-10,"C/O HAJI MOHD HUSSAIN   VILLAGE-YOURBALTAK,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45207,Construction
U45400LH2015OPC004512,NUN KUN STC ENGINEERING OPC PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2015-10-05,"Minjee   Proper Thang,Kargil,Ladakh,194105-India",Unlisted,Active,ladakh,Indian,45400,Construction
U92490LH2020PTC011255,GOLDEN EAGLE EXPEDITION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-05-22,"GANGJOR, CHANGSPA,LEH,Ladakh,194106-India",Unlisted,Active,ladakh,Indian,92490,"Community, personal and Social Services"
U17120LH2013PTC003788,CHANGTHANG PASHMINA PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-02-18,"NARO GUEST HOUSE   UPPER KARZOO CHANSPA LEH,LEH,Leh,Ladakh,194101-India",Unlisted,Strike Off,ladakh,Indian,17120,Manufacturing (Textiles)
U36999LH2017PTC009920,COSMIC HUE LIFE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,20000.00,2017-04-07,"RN-3, Semnet   Old Road, Leh,Leh,Leh,Ladakh,194101-India",Unlisted,Active,ladakh,Indian,36999,Manufacturing (Others)
U74999LH2017PTC010217,KARGIL ESTATE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,400000.00,2017-12-12,"RUNGKAR HOUSE   NEAR ANIMAL HUSBANDARY OFFICE KARGIL,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Strike Off,ladakh,Indian,74999,Business Services
U15490LH2022PTC011298,BROGPAS ORGANIC PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2022-06-15,"C/O MOHD NASSIR   DETHANNG,KARGIL,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,15490,Manufacturing (Food stuffs)
U45202LH2021PTC011279,J S I INFRASTRUCTURE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2021-08-28,"C/O- Mohd Jaweed   Pashkum Karzong,Kargil,Kargil,Ladakh,194103-India",Unlisted,Active,ladakh,Indian,45202,Construction
