CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U79120LD2024PTC024410,FBN VIATOR VENTURE PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,10000.00,2024-06-21,"VADAKKOODAM H WARD I,AGATTI P O LAKSHADWEEP_UT,Lakshadweep,Lakshadweep,Lakshadweep,682553-India",Unlisted,Active,lakshadweep,Indian,79120,"Community, personal and Social Services"
U63040LD2009PTC019307,LAKSHADWEEP TOURS AND TRAVELS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,100000.00,2009-10-08,"KITTAMCHETTA   AGATTI ISLAND,UT OF LAKSHADWEEP,Lakshadweep,Lakshadweep,682553-India",Unlisted,Strike Off,lakshadweep,Indian,63040,"Transport, storage and Communications"
U01100LD2019PTC024315,BAHR AZRAQ FARMERS PRODUCER COMPANY LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,3000000.00,147500.00,2019-01-04,"INNECHETTA, MANNIYAM,AMINI ISLAND,Lakshadweep,Lakshadweep,682552-India",Unlisted,Active,lakshadweep,Indian,01100,Agriculture and Allied Activities
U15400LD2022PTC024327,VIRGIN ISLAND NUTRACEUTICALS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,500000.00,500000.00,2022-01-31,"DARUL RILA, AGATTI LAKSHADWEEP Lakshadweep LD   682553 IN,LAKSHADWEEP,Lakshadweep,Lakshadweep,682553-India",Unlisted,Active,lakshadweep,Indian,15400,Manufacturing (Food stuffs)
U35110LD2007PTC019302,COASTAL SHIPPING LINKS (INDIA) PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,500000.00,100000.00,2007-09-07,"VDP WARD NO.V1 HOUSE NO 33   AOUKOHORATHUMANIKAGE RANMED VILLAGE,MINICOY P O,Lakshadweep,682559-India",Unlisted,Active,lakshadweep,Indian,35110,Manufacturing (Machinery and Equipments)
U93190LD2024PTC024409,ATOLL SCUBA PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,200000.00,2024-06-20,"Puthiyaveedu, No. 41/5,Ward 2, Malika House,Lakshadweep,Lakshadweep,Lakshadweep,682555-India",Unlisted,Active,lakshadweep,Indian,93190,"Community, personal and Social Services"
U55101LD2008PTC019303,LACCADIVES LAGOONA RESORTS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,0.00,2008-01-23,"SRS/358, CHERIYAPURA,AGATTI ISLAND,Lakshadweep,Lakshadweep,682551-India",Unlisted,Strike Off,lakshadweep,Indian,55101,Trading
U63040LD2006PTC019301,INDIGO ISLAND LEISURE PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,100000.00,100000.00,2006-07-31,"NO. 5/3, SAINABA MANZIL   WARD NO. 9,KAVARATTI DWEEP,Lakshadweep,682555-India",Unlisted,Active,lakshadweep,Indian,63040,"Transport, storage and Communications"
U01133LD2008PTC019304,LAKSHADWEEP COCONUT PRODUCTS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2008-09-30,"1/76, POLTORY FARM ROAD   ANDROTH ISLAND P O,LAKSHADWEEP,Lakshadweep,Lakshadweep,682551-India",Unlisted,Strike Off,lakshadweep,Indian,01133,Agriculture and Allied Activities
U79110LD2023PTC024402,KODI HOLIDAYS INDIA PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,300000.00,2023-08-19,"5/840, Near Life Line Medicals, Power House Road,,Kalpeni Island 682557,Lakshadweep,Lakshadweep,Lakshadweep,Lakshadweep,682557-India",Unlisted,Active,lakshadweep,Indian,79110,"Community, personal and Social Services"
U52291LD2024PTC024408,LAKSHADWEEP HERITAGE PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2024-03-05,"No. 542/2 Part & 543/2E, Ward 9, Shanthi Path,Near Post office, Kavaratti,Lakshadweep,Lakshadweep,Lakshadweep,682555-India",Unlisted,Active,lakshadweep,Indian,52291,"Transport, storage and Communications"
U79120LD2024PTC024407,JETZZI TOURS PRIVATE LIMITED,ROC Ernakulam,Company limited by shares,Non-government company,Private,1000000.00,400000.00,2024-01-25,"Coraline Beach Building,Near By Arafa Masjid, Airport Road,Lakshadweep,Lakshadweep,Lakshadweep,682553-India",Unlisted,Active,lakshadweep,Indian,79120,"Community, personal and Social Services"
