CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U63000PY2013PTC002805,TAXI 4 YOU PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2013-06-17,"Ground Floor, No.111&113 Gingee Salai,Pondicherry,Pondicherry,Pondicherry,605001-India",Unlisted,Strike Off,pondicherry,Indian,63000,"Transport, storage and Communications"
U63000PY2015PTC002968,OOZAAOO LEISURES PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-05-18,"NO 7 CHANDRASEKARAN STREET   IYYANAR NAGAR,PONDICHERRY,Pondicherry,Pondicherry,605013-India",Unlisted,Strike Off,pondicherry,Indian,63000,"Transport, storage and Communications"
U74999PY2007PTC002046,CORDELIA GEMS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2007-03-30,"C/O Mr. Ganesan   40, Bharathi Mill Street, Mudaliarpet,Pondicherry,Pondicherry,Pondicherry,605005-India",Unlisted,Strike Off,pondicherry,Indian,74999,Business Services
U74999PY2016PTC008099,AND INFRASTRUCTURE PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,300000.00,300000.00,2016-10-17,"NO.13, KAMARAJ STREET   MUTHULINGAMPET,LAWSPET,Pondicherry,Pondicherry,605008-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2017PTC008170,VARSHAM EVENTS AND ENTERTAINMENT PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2017-06-08,"NO 88, 1ST MAIN ROAD   SAMIPILLAI THOTTAM,PUDUCHERRY,Pondicherry,Pondicherry,605008-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2018PTC008362,RAAMSASHWIN CENEMAAS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2018-12-27,"No.15 First Floor, Vallalar Street   Ansari Duraisamy Nagar,Pondicherry,Pondicherry,Pondicherry,605004-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2019FTC008423,SKILL BUDDY INDIA PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,subsidiary of company incorporated outside India,Private,1000000.00,510000.00,2019-05-24,"No.23, 3rd Cross   Rajiv Gandhi Nagar,NEW SARAM,Pondicherry,Pondicherry,605013-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2021PTC008688,MR DAC SOLUTIONS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,10000.00,2021-03-24,"PLOT NO 5, GROUND FLOOR   7TH CROSS KAMBAN NAGAR,PONDICHERRY,Pondicherry,Pondicherry,607402-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2021PTC008739,LAROZE MULTISERVICES INDIA PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,500000.00,2021-09-07,"No.101-A, Gingee Salai,Pondicherry,Pondicherry,Pondicherry,605002-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U74999PY2022PTC008926,DREAM STARS MARKETING PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,300000.00,300000.00,2022-09-08,"2/A, SECOND FLOOR, VILLIANUR BYPASS ROAD   PARASURAMAPURAM,VILLIANUR,Pondicherry,Pondicherry,605010-India",Unlisted,Active,pondicherry,Indian,74999,Business Services
U15539PY1985PTC000370,FRANKO FOOD INDUSTRIES PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,200000.00,200000.00,1985-11-25,"9, NEHRU NAGAR,PONDICHERRY-11.,PONDICHERRY,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,15539,Manufacturing (Food stuffs)
U55101PY2005PTC001907,ROYALE KRISHNA HOTELS AND RESORTS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2005-10-12,"NO.25, VALLALAR SALAI,KAMARAJ NAGAR,   PONDICHERRY-605011.,605011.,Pondicherry,605011-India",Unlisted,Strike Off,pondicherry,Indian,55101,Trading
U55101PY2007PTC002101,JEFFRIES RESORTS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2007-11-02,"219, LAL BAHADUR SHASTRI STREET,,PONDICHERRY,Pondicherry,605001-India",Unlisted,Active,pondicherry,Indian,55101,Trading
U55101PY2024PTC009265,SRI GOWRI INN PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,10000000.00,6000000.00,2024-07-09,"NO. 229, MISSION STREET,Pondicherry,Pondicherry,Pondicherry,605001-India",Unlisted,Active,pondicherry,Indian,55101,"Transport, storage and Communications"
U72900PY2010PTC002414,BRAHAN CONSULTING SERVICES PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-02-03,"No.16D, KAPOOR STREET   KAMARAJ NAGAR,PUDUCHERRY,Pondicherry,Pondicherry,605001-India",Unlisted,Strike Off,pondicherry,Indian,72900,Business Services
U72900PY2018PTC008316,JUNKPLAZZA DIGITAL SERVICES PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-09-05,"81, ANNIE BESANT NAGAR,   NAVARKULAM, LAWSPET,PUDUCHERRY,Pondicherry,Pondicherry,605008-India",Unlisted,Active,pondicherry,Indian,72900,Business Services
U72900PY2019OPC008473,ADZ4NEEDZ (OPC) PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,One Person Company,30000.00,100000.00,2019-10-22,"No 54 / 59 1st Cross   Rainbow Nagar,PUDUCHERRY,Pondicherry,Pondicherry,605001-India",Unlisted,Active,pondicherry,Indian,72900,Business Services
U72900PY2020PTC008511,NZONE SOLUTIONS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,10000.00,2020-01-22,"NO 43/4, CHURCH STREET   1ST FLOOR,KARAIKAL,Karaikal,Pondicherry,609602-India",Unlisted,Under process of striking off,pondicherry,Indian,72900,Business Services
U99999PY1980PTC000172,FERDOUS PAPER PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1980-10-09,"C-5, 14 & 23 INDUSTRIAL ESTATEPONDICHERRY 10,PONDICHERRY -605 010,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1982PTC000197,JAYAKUMAR CHEMICALS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1982-08-07,"PILLAYAR KUPPAMBAHOUR COMMUNE   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1984PTC000243,CYRX ELECTRONICS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1984-01-10,"114,3RD STREET, VENKATA NAGAR,,PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1985PTC000371,SRI ARVIND BHAIJIT POLYTEX INDUSTRIES PV T LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,0.00,1985-11-25,"39 RUE SUFFRENPONDICHERRY-1.,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1986PTC000447,PONDY COWA FOODS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,2500000.00,0.00,1986-09-26,"2, 4TH STREETANGALAMMAN NAGAR   MUTHIALPET,PONDICHERRY 3,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1987PTC000521,PONDICHERRY POLY WRAPS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,250000.00,0.00,1987-07-28,"NO 54 KAMATCHI AMMAN KOILSTREET, PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1987PTC000532,AKSHAY GARMENT EXPORTS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,400000.00,0.00,1987-09-16,"53, II STREET, NATESAN NAGARPONDICHERRY.,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1988PTC000562,HI-TECHNIC FOODS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,200000.00,0.00,1988-02-05,"NALLURPALINALLUR POST   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1989PTC000622,SEACOAST CHEMICALS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1989-02-27,"35/2 KUDAPPAKKAM ROADVILLIANUR 605 110   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1990PTC000669,PYG ORGANICS (P) LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,0.00,1990-03-01,"63-A,8TH CROSSBRINDAVAN COLONY   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1991PTC000776,LAKSHMI BEACH AND HOLIDAY RESORTS PVT LT D.,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,0.00,1991-11-06,"41, I CROSS STREETRAINBOW NAGAR   PONDICHERRY,NA,Pondicherry,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1993PTC000891,OLEFIN DERIVATIVES SPECIALITY CHEMICALS PVT LTD,ROC Pondicherry,Company limited by shares,Non-government company,Private,300000.00,0.00,1993-06-17,"PLOT NO B-16 PIPDIC INDUSTRIALESTATE,SEDARAPET   PONDICHERRY,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1995PTC001051,THANIGAVEL CHEMICALS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1000000.00,0.00,1995-02-10,"SAI KRIBAI ILLAM,SAIBABA NAGAR,   ARIYANKUPPAM,,PONDICHERRY-7.,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1996PTC001193,RAVI KRISHNA HOTELS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,5000000.00,0.00,1996-02-05,"54,VELLALA ST,PONDICHERRY-605001,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1997PTC001327,ECO ENERGY PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1997-06-23,"NO.3, EDA STREETTHIRUMALAIYARAN  PATTINAM   PONDICHERRY 609 606,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1998PTC001366,NEW GRACE FINANCIAL SERVICES PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1998-01-02,"134 POSTMAN STREETR.K. NAGAR   ARIYANKUPPAM,PONDICHERRY 7,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U99999PY1998PTC001427,ATLAS METALS AND CAST ALUMINIUM ALLOYS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,500000.00,0.00,1998-09-30,"C1 &C2, PIPDIC INDUSTRIALESTATE, KIRUMAMBAKKAM,   PONDICHERRY 607 404,NA,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,99999,"Community, personal and Social Services"
U01409PY2001PTC001605,SRI KVR AGRI PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,100000.00,2001-07-25,"NO.8B, IYANNAR KOIL ST,RAJANAGAR(OPP.PT&TDC SHED),   PONDICHERRY 605 013.,PONDICHERRY 605 013.,Pondicherry,605013-India",Unlisted,Strike Off,pondicherry,Indian,01409,Agriculture and Allied Activities
U01611PY2023PTC009065,SATHANAI FARMERS PRODUCER COMPANY LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,511000.00,2023-06-21,"04 Kadai street,,Pallipattu,,Pondicherry,Pondicherry,Pondicherry,607402-India",Unlisted,Active,pondicherry,Indian,01611,Agriculture and Allied Activities
U32503PY2023PTC009108,NOVELMED RESEARCH PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,10000.00,2023-09-13,"NO11,VIVEKANANDHAN STREET,INDIRANAGAR, GORIMEDU,Pondicherry,Pondicherry,Pondicherry,605006-India",Unlisted,Active,pondicherry,Indian,32503,Manufacturing (Others)
U34300PY2020PTC008566,MEOZA MOTORS PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2020-07-15,"NO. 231, 1ST  FLOOR   T.V.SALAI, PILLAI THOTTAM,PONDICHERRY,Pondicherry,Pondicherry,605013-India",Unlisted,Active,pondicherry,Indian,34300,Manufacturing (Machinery and Equipments)
U36104PY1973PTC000119,COIRTEX PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,400000.00,144000.00,1973-12-11,"chalackara   pallur, Mahe,Pondicherry,000000-India",Unlisted,Strike Off,pondicherry,Indian,36104,Manufacturing (Others)
U79110PY2024PTC009331,AGILAN GOSAFE TAXI SERVICE PRIVATE LIMITED,ROC Pondicherry,Company limited by shares,Non-government company,Private,100000.00,10000.00,2024-11-20,"1, IV CROSS JAWAHAR NAGAR,REDDIARPALAYAM,Pondicherry,Pondicherry,Pondicherry,605010-India",Unlisted,Active,pondicherry,Indian,79110,"Community, personal and Social Services"
