CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U74999HP2015PTC001092,THINK & THRIVE SOLUTIONS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2015-12-08,"90/2C   TEEKA SAWHAL TECH-SUJANPUR,HAMIRPUR,Hamirpur,Himachal Pradesh,177007-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2016PTC006260,HIMFLY EMPORIUM PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2016-07-04,"VPO BHALYANI, DISTRICT KULLU,KULLU,Himachal Pradesh,175102-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2018OPC007063,OXBULL BIOTECH (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,1000000.00,500000.00,2018-06-18,"Plot No. 111, Ward No. 13   BATA ROAD, PO MAJRA, TEH PAONTA,,SIRMAUR,Sirmaur,Himachal Pradesh,173201-India",Unlisted,Strike Off,himachal pradesh,Indian,74999,Business Services
U74999HP2018PTC006935,HIMGIRI NETWORK PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-03-26,"C/O TARA DEVI, VPO PALI,   TEHSIL PADHAR,MANDI,Mandi,Himachal Pradesh,175012-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2018PTC006954,SARLA PUBLICATIONS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1000000.00,100000.00,2018-04-04,"GROUND FLOOR, RAMA NIWAS,   LOWER PANTHAGHATI,,SHIMLA,Shimla,Himachal Pradesh,171009-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2018PTC007047,ALARIC LIFE SCIENCES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1000000.00,250000.00,2018-06-08,"C/O MBC INDUSTRIES, VILLAGE JOHRON,   TRILOKPUR ROAD,KALA AMB,Sirmaur,Himachal Pradesh,173030-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2018PTC007102,BIZZVERT SOFTWARE SOLUTION PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-07-20,"CHAUHAN NIWAS NR- HATTU MANDIR UPPER   CEMETRY SHIMLA, UPPER CEMETRY,LOWER CEMERY,Shimla,Himachal Pradesh,171006-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2020PTC008165,5THTOWER SOFTWARE INTERNATIONAL PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-10-26,"C/O ONKAR CHAND WALIA,WARD NO. 2,   LOWER RAM NAGAR, SHAM NAGAR,DHARAMSHALA,KANGRA,Kangra,Himachal Pradesh,176215-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U74999HP2022PTC009593,SUTRA SECURITIES SERVICES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-09-28,"C/o Machhlan Devi,NEAR DAV SR SEC SCHOOL   VIKAS NAGAR WARD NO-4 Teh. and Distt.,UNA,Una,Himachal Pradesh,174304-India",Unlisted,Active,himachal pradesh,Indian,74999,Business Services
U65999HP2022PLN009161,PAONTIKA NIDHI LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Public,1500000.00,1500000.00,2022-02-23,"198/35, DEVI NAGAR,,PAONTA SAHIB,Sirmaur,Himachal Pradesh,173025-India",Unlisted,Active,himachal pradesh,Indian,65999,Finance
U66309HP2024PTC011093,CHAIL FINMART SERVICES PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2024-08-13,"C/o Yadopati Sharma,VPO Chail chowk,Chachiot,Mandi,Himachal Pradesh,175028-India",Unlisted,Active,himachal pradesh,Indian,66309,Finance
U47599HP2024PTC010689,FERIX ELECTRICALS PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,Private,500000.00,100000.00,2024-02-27,"C/o Bal Krishan Sharma,PO Juni, Tehsil Sunni,Suni,Shimla,Himachal Pradesh,171301-India",Unlisted,Active,himachal pradesh,Indian,47599,Trading
U74910HP2016OPC001170,M.D UTILITY SERVICES (OPC) PRIVATE LIMITED,ROC Himachal Pradesh,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2016-03-09,"PATHANIA NIWAS NEAR T.R BUILDING   SECTOR-2 SHIMLA,SHIMLA,Shimla,Himachal Pradesh,171009-India",Unlisted,Strike Off,himachal pradesh,Indian,74910,Business Services
