CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U24233JK2021PTC012734,ABINZA PHARMA PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,10000000.00,10000000.00,2021-09-20,"C/O ABINZA PHARMA PVT. LTD., SIDCO, PHASE-1,,IGC, SAMBA,Jammu,Jammu,Jammu & Kashmir,184121-India",Unlisted,Active,jammu & kashmir,Indian,24233,"Manufacturing (Metals and Chemicals, and products thereof)"
U24239JK2019PTC011041,OPTIWISE VENTURES PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1500000.00,100000.00,2019-05-31,"3RD FLOOR A2-RAZAK COMPLEX MOMIN ABAD   BANAPORA BY-PASS BATAMALOO,SRINAGAR,Srinagar,Jammu & Kashmir,190009-India",Unlisted,Active,jammu & kashmir,Indian,24239,"Manufacturing (Metals and Chemicals, and products thereof)"
U24239JK2021OPC012832,AYURDAILY PHARMA (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,100000.00,2021-10-22,"C/o Jang Bahadur Singh Pooja Colony   Defence Enclave, Lower Thather Bantalab,,Jammu,Jammu,Jammu & Kashmir,181123-India",Unlisted,Active,jammu & kashmir,Indian,24239,"Manufacturing (Metals and Chemicals, and products thereof)"
U24244JK2015PTC004440,REJUVE SKIN & WELLNESS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,1000000.00,1000000.00,2015-06-26,"109 ST BUILDING DOODGANGA ROAD   KARAN NAGAR MOUZA BATMALOO,SRINAGAR,Srinagar,Jammu & Kashmir,190010-India",Unlisted,Active,jammu & kashmir,Indian,24244,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290JK2022OPC014119,FEMDICO FORMULATION (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,100000.00,10000.00,2022-12-26,"C/O MIRZA AHMADULLAH GHULAM SHAH   UMAR ABAD ZKOTE,SRINAGAR,Srinagar,Jammu & Kashmir,190012-India",Unlisted,Active,jammu & kashmir,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24290JK2022PTC013939,JON AND DUTCH HEALTHCARE PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-10-31,"C/o Zareefa Hilal, Shaikh Hamzah Colony,   Eidgah,SRINAGAR,Srinagar,Jammu & Kashmir,190010-India",Unlisted,Active,jammu & kashmir,Indian,24290,"Manufacturing (Metals and Chemicals, and products thereof)"
U24296JK2014PTC004245,TRUEVET ANIMAL NUTRITION PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,2000000.00,2000000.00,2014-09-26,"101 3RD CROSS KHANDAY COLONY   SOUTH CITY NOWGAM BYE PASS,SRINAGAR,Srinagar,Jammu & Kashmir,190015-India",Unlisted,Active,jammu & kashmir,Indian,24296,"Manufacturing (Metals and Chemicals, and products thereof)"
U24299JK2021PTC012192,NATURIS INNOVATIONS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,70000000.00,200000.00,2021-03-17,"H. No. 251/E, Sector 7   Channi Himmat,,Jammu,Jammu,Jammu & Kashmir,180015-India",Unlisted,Active,jammu & kashmir,Indian,24299,"Manufacturing (Metals and Chemicals, and products thereof)"
U52291JK2023OPC014687,WILD SAPIENS (OPC) PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,One Person Company,1500000.00,100000.00,2023-06-08,"150/1A, SOUTH EXTN., TRIK,Jammu,Jammu,Jammu & Kashmir,180020-India",Unlisted,Active,jammu & kashmir,Indian,52291,"Transport, storage and Communications"
U52291JK2023PTC014648,VALLEY VISION TOUR AND TRAVELS PRIVATE LIMITED,ROC Jammu,Company limited by shares,Non-government company,Private,100000.00,10000.00,2023-05-31,"C/O MOHD SIDIQ RAINA,KULLAN SONAM GANDERBAL,Kangan,Srinagar,Jammu & Kashmir,191202-India",Unlisted,Active,jammu & kashmir,Indian,52291,"Transport, storage and Communications"
