CIN,CompanyName,CompanyROCcode,CompanyCategory,CompanySubCategory,CompanyClass,AuthorizedCapital,PaidupCapital,CompanyRegistrationdate_date,Registered_Office_Address,Listingstatus,CompanyStatus,CompanyStateCode,CompanyIndian/Foreign Company,nic_code,CompanyIndustrialClassification
U65923DD1992SGC001221,OMNIBUS INDUSTRIAL DEVELOPMENT CORPORATION OF DAMAN DIU AND DADRA NAGAR HAVELI LIMITED,ROC Goa,Company limited by shares,State government company,Public,500000000.00,260655700.00,1992-03-27,"NEAR SECRETRIATFORT MOTI DAMAN   NANI DAMAN,DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,65923,Finance
U24132DD1996PTC002145,TRANS POLYURETHANE PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,85000000.00,35000000.00,1996-08-01,"23BHARAT INDUSTRIAL ESTATE   BHIMPORE,DAMAN,Daman and Diu,000000-India",Unlisted,Active,daman and diu,Indian,24132,"Manufacturing (Metals and Chemicals, and products thereof)"
U51909DD2004PTC004752,TRADEBULLS COMMODITIES BROKING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,7500000.00,6666700.00,2004-05-24,"FlatNo.304,SAINIVAS-C,Kathiria,Daman,Daman and Diu,396210-India",Unlisted,Amalgamated,daman and diu,Indian,51909,Trading
U29308DD2022PTC009922,AIRZONE TECH PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2022-06-24,"108, Patel Complex, 1st Floor   Bhamti, Moti Daman,,Daman,Daman,Daman and Diu,396220-India",Unlisted,Active,daman and diu,Indian,29308,Manufacturing (Machinery and Equipments)
U25199DD2018PTC009936,DABS PACKAGING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,10000000.00,10000000.00,2018-12-20,"370/2, Village Kachigam, Nani Daman,   Kachigam,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,25199,"Manufacturing (Metals and Chemicals, and products thereof)"
U25209DD2008PTC004669,CELLO TIPS AND PENS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,16666670.00,16666670.00,2008-04-01,"PLOT NO.711/1,2,3,4   SOMNATH ROAD, DABHEL,DAMAN,Daman and Diu,396210-India",Unlisted,Amalgamated,daman and diu,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U26931DD1993PTC001315,KOSMOS GRANITE AND EXPORTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1500000.00,1075000.00,1993-01-05,"SURVEY NO.361(8)SHREE GANESH IND. ESTATE   KANCHIGAM  DAMAN,NA,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,26931,"Manufacturing (Metals and Chemicals, and products thereof)"
U24346DD1994PTC001547,HATZ MANUFACTURING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,13000000.00,13000000.00,1994-03-17,"SURVEY NO.9/3 VILLAGE DABHELVAPI DAMAN  MAIN ROAD   DAMAN,UNION TERRITORY,Daman and Diu,000000-India",Unlisted,Active,daman and diu,Indian,24346,"Manufacturing (Metals and Chemicals, and products thereof)"
U52311DD1999PTC002751,JUGGIN TRADING PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,500000.00,1999-10-14,"SHIVAM COMPLEX BUILDING NO 1SHOP NO  A/5   DUNETHA ROAD,DAMAN,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,52311,Trading
U74110DD2010PTC004772,MANMISH TRADERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2010-06-21,"H. NO. 1342/11, SHOP NO. 12 (B) PART, GROUND FLOOR   NEAR POWER STATION, KACHIGAM, NANI DAMAN,,,Daman,Daman,Daman and Diu,396210-India",Unlisted,Strike Off,daman and diu,Indian,74110,Business Services
U28122DD1997PTC002426,KRUNISH ENGINEERS AND FABRICATORS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,500000.00,440030.00,1997-08-27,"PLOT NO 135/136PANCHAL INDUSTRIAL ESTATE   BHIMPORE,DAMAN,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,28122,"Manufacturing (Metals and Chemicals, and products thereof)"
U28292DD2023PTC010022,OSHIYA FLEXIPACK PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2023-09-25,"H No 14 145 A 3 T F 3,Kathiria Nani Daman,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,28292,Manufacturing (Machinery and Equipments)
U45201DD2021PTC009883,PRETECH ELEMENTS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-01-20,"Sr. No. 106/1,   Bhamti, Moti Daman,,Daman,Daman,Daman and Diu,396220-India",Unlisted,Strike Off,daman and diu,Indian,45201,Construction
U45309DD2020PTC009871,ACA INFRATECH PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2020-09-25,"Sr. No 106/1, Bhamti,   Moti Daman,Daman,Daman,Daman and Diu,396220-India",Unlisted,Active,daman and diu,Indian,45309,Construction
U64200DD2021PTC009901,HIRO DIGITAL SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-10-07,"C/O HARESH LAXMAN BARI   DHOLAR, MOTI DAMAN,DAMAN,Daman,Daman and Diu,396220-India",Unlisted,Active,daman and diu,Indian,64200,"Transport, storage and Communications"
U74999DD2017PTC010017,ULTIMATE FOILS AND PAPER PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,7500000.00,6200000.00,2017-11-13,"Plot No. 27, Golden Industrial Estate,,Somnath Road, Dabhel,Daman,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
U74999DD2018PLC009814,DIU SMART CITY LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,500000.00,500000.00,2018-03-05,"DIU MUNICIPAL COUNCIL BUILDING,   FORT ROAD,DIU,Diu,Daman and Diu,362520-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
U74999DD2018PTC009828,FASTPRO RFID SOLUTIONS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-07-16,"SHOP NO.162, CENTRE POINT, 1ST FLOOR,   SOMNATH, DABHEL, NANI DAMAN,,DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
U74999DD2018PTC009831,LKZ HOSPITALITIES PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2018-09-06,"HOUSE NO. 351/13, B/H HOTEL TRIVENI   NAIDA ROAD,DIU,Diu,Daman and Diu,362520-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
U74999DD2021PTC009890,INDI KORO POLYMERS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2021-04-01,"H.NO.240/D-23,SURVEY NO.761/1,2,3 & 7   VAPI DAMAN MAIN ROAD,VILLAGE DABHEL,INDIA,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,74999,Business Services
L25209DD1985PLC004694,FIBERWEB (INDIA) LIMITED,ROC Goa,Company limited by shares,Non-government company,Public,500000000.00,287917100.00,1985-10-22,"AIRPORT ROAD, KADAIYA VILLAGE,   NANI DAMAN,,DAMAN,Daman,Daman and Diu,396210-India",Listed,Active,daman and diu,Indian,25209,"Manufacturing (Metals and Chemicals, and products thereof)"
U00247DD1993PTC001448,GOYOLENE FIBRES (INDIA) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,5000000.00,0.00,1993-10-07,"PLOT SURVEY NO.738/1,SOMNATH ROAD, DABHEL, DAMAN.,SOMNATH ROAD,Daman and Diu,000000-India",Unlisted,Inactive for e-filing,daman and diu,Indian,00247,Others
U55101DD1989PTC000967,SWEET HOME HOTELS PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,1000000.00,958000.00,1989-04-12,"SUTHARWADAVAPI DAMAN ROAD   DABHEL,DAMAN (UT),Daman and Diu,000000-India",Unlisted,Strike Off,daman and diu,Indian,55101,Trading
U40100DD2000PTC004655,WIND WORLD WIND FARMS (MAHARANA PRATAP) PRIVATE LIMITED,ROC Goa,Company limited by shares,Non-government company,Private,100000.00,100000.00,2000-03-03,"33, DAMAN PATALIA ROAD,   BHIMPORE, DAMAN,DAMAN,Daman,Daman and Diu,396210-India",Unlisted,Active,daman and diu,Indian,40100,"Electricity, Gas and Water companies"
